,0
0,City Building
1,American West
2,Mythology
3,Print & Play
4,Manufacturing
5,American Civil War
6,Renaissance
7,Maze
8,Economic
9,World War I
10,Animals
11,TV
12,Action
13,Card Game
14,Age of Reason
15,Murder/Mystery
16,Aviation
17,Humor
18,Environmental
19,Farming
20,Deduction
21,Trains
22,Civilization
23,Nautical
24,Prehistoric
25,Zombies
26,Flight
27,Medical
28,Horror
29,Industry
30,Fan Expansion
31,Civil War
32,Puzzle
33,Travel
34,Party Game
35,Territory Building
36,American Revolutionary War
37,Trivia
38,Collectible Components
39,Educational
40,Mature
41,Modern Warfare
42,Political
43,Expansion for Base-game
44,Religious
45,Mafia
46,American Indian Wars
47,Comic Book
48,Number
49,Movies
50,Negotiation
51,Korean War
52,Pirates
53,Radio theme
54,Ancient
55,Novel-based
56,Space Exploration
57,Exploration
58,Book
59,World War II
60,Science Fiction
61,Fantasy
62,Miniatures
63,Medieval
64,Memory
65,Strip
66,Abstract Strategy
67,Transportation
68,Bluffing
69,Wargame
70,Adventure
71,Video Game Theme
72,Racing
73,Music
74,Spies/Secret Agents
75,Post-Napoleonic
76,Game System
77,Fighting
78,Pike and Shot
79,Children's Game
80,Vietnam War
81,Napoleonic
82,Real-time
83,Dexterity
84,Electronic
85,Sports
86,Dice
87,Word Game
88,Math
89,Arabian
90,Adult
